BUS_ROUTE,STOP_ORD,STOP_NAME,LAT,LNG,STOP_ID,previous,next,MASK_SELECTED
13,1,단대병원,36.8413349,127.1741122,285000640,,,1
13,2,단대병원,36.83938797,127.1742724,285000641,240,724,2
13,3,상명대학교,36.8330796,127.1730008,285000642,724,759,3
13,4,천안톨게이트,36.82835666,127.1676106,285000644,759,871,4
13,5,도솔광장,36.8224033,127.162808,285001062,871,400,5
13,6,대림한숲아파트,36.81993963,127.1597741,285000707,400,326,6
13,7,종합터미널,36.8190148,127.1565574,285000686,326,556,7
13,8,신안파출소,36.81732914,127.1528389,285000683,556,376,8
13,9,천안초등학교,36.81402564,127.1529044,285000681,376,310,9
13,10,천안역 필하우스 에듀시티,36.81124416,127.1526971,285000679,310,302,10
13,11,청소년수련관,36.80854059,127.1523949,285000877,302,351,11
13,12,버들육거리,36.8055523,127.1522197,285000669,351,412,12
13,13,청과시장,36.80334529,127.1526817,285000672,412,431,13
13,14,농협원성점,36.79952316,127.1533738,285000674,431,298,14
13,15,남부오거리,36.7985139,127.1516921,285000701,298,1047,15
13,16,일봉초등학교,36.79878796,127.1399841,285000832,1047,335,16
13,17,다가동신성아파트,36.79883462,127.1362324,285000835,335,737,17
13,18,쌍용극동아파트(충무병원정문),36.7968126,127.13214,285001518,737,556,18
13,19,쌍용현대2차아파트,36.79512453,127.1322055,285001517,556,833,19
13,20,성지새말2단지아파트,36.79261965,127.1313841,285000840,833,812,20
13,21,용곡더쉴아파트,36.78936127,127.1311091,285000842,812,351,21
13,22,현대 향촌아파트정문,36.78843038,127.1303718,285000843,351,189,22
13,23,신방초원아파트후문,36.7879761,127.1285709,285000850,189,659,23
13,24,신촌초등학교,36.7864263,127.1232574,285000852,659,2279,24
13,25,쌍용동일하이빌,36.7848047,127.1132825,285000165,2279,531,25
13,26,장재마을11단지,36.78670128,127.1093307,285002121,531,1076,26
13,27,아산역,36.79158,127.10288,288002218,1076,418,27
13,28,천안아산역,36.793545,127.1038693,285071625,418,87,28
13,1,천안아산역,36.79431,127.10368,288002022,87,697,29
13,2,호수공원,36.79372,127.1013,288002048,697,420,30
13,3,아산역,36.7915,127.1036,288002219,420,501,31
13,4,한국표준협회,36.79101,127.1078,288002054,501,506,32
13,5,장재마을11단지,36.7865,127.1087,288002056,506,625,33
13,6,쌍용동일하이빌,36.78462,127.11376,288001265,625,1230,34
13,7,신방초원아파트,36.78729211,127.1243111,285000851,1230,649,35
13,8,한라 동백2차아파트정문,36.78817834,127.1302481,285000844,649,228,36
13,9,용곡더쉴아파트,36.78947214,127.1313494,285000841,228,424,37
13,10,두레현대1단지아파트,36.79260462,127.1315805,285000839,424,330,38
13,11,쌍용현대1차아파트,36.79518261,127.1313476,285001516,330,145,39
13,12,충무병원후문,36.7964296,127.1313223,285000838,145,431,40
13,13,충무병원,36.79822667,127.1336735,285000836,431,471,41
13,14,다가동신성아파트YWCA,36.79855297,127.1367774,285000834,471,339,42
13,15,일봉초등학교,36.79848462,127.1403841,285010011,339,1015,43
13,16,남부오거리,36.7982139,127.1517372,285000702,1015,311,44
13,17,농협원성점,36.79967502,127.1535368,285000673,311,407,45
13,18,청과시장,36.80328294,127.1528607,285000671,407,254,46
13,19,버들육거리,36.8054539,127.1524533,285000670,254,352,47
13,20,중앙도서관,36.80858461,127.1525824,285000878,352,339,48
13,21,천안역 필하우스 에듀시티,36.81163128,127.1529341,285000680,339,313,49
13,22,천안북중학교,36.81444863,127.1531504,285000682,313,335,50
13,23,신안파출소,36.8174513,127.1529841,285000684,335,467,51
13,24,종합터미널,36.8187607,127.1556582,285000685,467,359,52
13,25,대림한숲아파트,36.8193751,127.1595809,285000706,359,1340,53
13,26,천안톨게이트,36.82824318,127.1677016,285000643,1340,910,54
13,27,상명대학교,36.83428295,127.1739541,285001052,910,307,55
13,28,단국대치대병원,36.83703799,127.1743541,285001595,307,486,56
13,29,단대병원,36.8412905,127.1743703,285001715,486,,0
